id,ident,name,continent,iso_country,municipality,is_ue
3,AGGH,Honiara International Airport,OC,SB,Honiara,0
4,AGGM,Munda Airport,OC,SB,Munda,0
8,ANYN,Nauru International Airport,OC,NR,Yaren,0
336951,AQBC,Boulder Clay Runway,AN,AQ,Zucchelli Station,0
35179,AYBA,Baimuru Airport,OC,PG,Baimuru,0
53,AYBK,Buka Airport,OC,PG,Buka Island,0
35180,AYBM,Balimo Airport,OC,PG,Balimo,0
54,AYCH,Chimbu Airport,OC,PG,Kundiawa,0
55,AYDU,Daru Airport,OC,PG,Daru,0
56,AYGA,Goroka Airport,OC,PG,Goronka,0
57,AYGN,Gurney Airport,OC,PG,Gurney,0
58,AYGR,Girua Airport,OC,PG,Popondetta,0
59,AYHK,Hoskins Airport,OC,PG,Kimbe,0
60,AYKM,Kerema Airport,OC,PG,Kerema,0
61,AYKV,Kavieng Airport,OC,PG,Kavieng,0
62,AYMD,Madang Airport,OC,PG,Madang,0
63,AYMH,Mount Hagen Kagamuga Airport,OC,PG,Mount Hagen,0
64,AYMN,Mendi Airport,OC,PG,Mendi,0
65,AYMO,Momote Airport,OC,PG,Manus Island,0
66,AYNZ,Nadzab Tomodachi International Airport,OC,PG,Lae,0
67,AYPY,Port Moresby Jacksons International Airport,OC,PG,Port Moresby,0
68,AYTK,Tokua Airport,OC,PG,Kokopo,0
69,AYVN,Vanimo Airport,OC,PG,Vanimo,0
70,AYWD,Wapenamanda Airport,OC,PG,Wapenamanda,0
71,AYWK,Wewak International Airport,OC,PG,Wewak,0
31697,BGAA,Aasiaat Airport,,GL,Aasiaat,0
30839,BGCO,Neerlerit Inaat Airport,,GL,Neerlerit Inaat,0
114,BGGH,Nuuk International Airport,,GL,Nuuk,0
31694,BGJN,Ilulissat Airport,,GL,Ilulissat,0
31786,BGKK,Kulusuk Airport,,GL,Kulusuk,0
32004,BGQQ,Qaanaaq Airport,,GL,Qaanaaq,0
115,BGSF,Kangerlussuaq International Airport,,GL,Kangerlussuaq,0
31700,BGSS,Sisimiut Airport,,GL,Sisimiut,0
116,BGTL,Pituffik Space Base,,GL,Pituffik,0
117,BIAR,Akureyri International Airport,EU,IS,Akureyri,0
118,BIBD,Bildudalur Airport,EU,IS,Bildudalur,0
119,BIEG,Egilsstaðir Airport,EU,IS,Egilsstaðir,0
31549,BIGR,Grímsey Airport,EU,IS,Grímsey/Sandvík,0
